sample-T,sample-t,index,I,U,T,Capacity,SOC
5005.68504,128.591258,8,-0.480656952,3.334547281,26.95109558,-0.011802329,9.89E-01
5006.689107,129.5953247,8,-0.480656952,3.333316088,26.95109558,-0.011936388,9.88E-01
5007.691132,130.5973503,8,-0.480844796,3.332084894,27.1005249,-0.012070227,9.88E-01
5008.695355,131.6015733,8,-0.480656952,3.331161737,26.9205265,-0.012204306,9.88E-01
5009.698253,132.6044709,8,-0.480844796,3.329930544,26.87637138,-0.012338261,9.88E-01
5010.707645,133.6138632,8,-0.480844796,3.329007149,26.87637138,-0.012473084,9.88E-01
5011.708398,134.6146165,8,-0.480656952,3.328083992,27.13109016,-0.0126067,9.88E-01
5012.712425,135.6186432,8,-0.480844796,3.327160597,26.95109558,-0.012740806,9.88E-01
5013.722573,136.6287915,8,-0.480844796,3.326237202,27.02581406,-0.01287573,9.88E-01
5014.723519,137.6297374,8,-0.480844796,3.325006247,27.02581406,-0.013009424,9.87E-01
5015.732626,138.638844,8,-0.480656952,3.324698448,26.80164337,-0.013144156,9.87E-01
5016.741612,139.6478301,8,-0.480844796,3.323467255,26.87637138,-0.013278924,9.87E-01
5017.743664,140.6498819,8,-0.480656952,3.323159456,26.95109558,-0.013412714,9.87E-01
5018.752966,141.6591841,8,-0.480844796,3.322236061,26.87637138,-0.013547524,9.87E-01
5019.759822,142.6660402,8,-0.480844796,3.321312904,26.98166466,-0.013682008,9.87E-01
5020.763806,143.6700238,8,-0.480656952,3.320389509,26.95109558,-0.013816056,9.87E-01
5021.767128,144.6733464,8,-0.480656952,3.320081711,26.90694237,-0.013950015,9.87E-01
5022.775923,145.6821419,8,-0.480656952,3.319158316,27.05638123,-0.014084705,9.86E-01
5023.778964,146.6851819,8,-0.480844796,3.318235159,26.80164337,-0.014218679,9.86E-01
5024.78303,147.6892483,8,-0.480656952,3.317927361,26.87637138,-0.014352738,9.86E-01
5025.783064,148.6892821,8,-0.480844796,3.317311764,26.95109558,-0.014486311,9.86E-01
5026.790259,149.696477,8,-0.480844796,3.315772772,26.87637138,-0.014620839,9.86E-01
5027.795179,150.7013972,8,-0.48103261,3.315157413,26.87637138,-0.014755117,9.86E-01
5028.804288,151.7105065,8,-0.480656952,3.314849615,26.95109558,-0.014889849,9.86E-01
5029.811666,152.7178843,8,-0.480656952,3.314234018,26.98166466,-0.01502435,9.85E-01
5030.812313,153.7185318,8,-0.480844796,3.313310623,26.87637138,-0.015158004,9.85E-01
5031.813522,154.7197398,8,-0.480844796,3.312695026,26.80164337,-0.015291734,9.85E-01
5032.820552,155.7267707,8,-0.480656952,3.312079668,26.95109558,-0.015426188,9.85E-01
5033.827579,156.733797,8,-0.480656952,3.311464071,26.87637138,-0.015560642,9.85E-01
5034.828517,157.7347355,8,-0.480844796,3.310848475,27.05638123,-0.015694336,9.85E-01
5035.828598,158.7348167,8,-0.480844796,3.310540676,26.83221626,-0.015827915,9.85E-01
5036.837621,159.7438394,8,-0.480656952,3.309925079,26.95109558,-0.015962635,9.85E-01
5037.839719,160.7459378,8,-0.480844796,3.308694124,26.90694237,-0.016096483,9.84E-01
5038.840845,161.7470638,8,-0.480844796,3.308386326,26.95109558,-0.016230202,9.84E-01
5039.844811,162.7510293,8,-0.480844796,3.308078527,26.95109558,-0.016364299,9.84E-01
5040.852831,163.7590495,8,-0.480844796,3.307462931,26.98166466,-0.016498939,9.84E-01
5041.857871,164.7640894,8,-0.480656952,3.307462931,26.87637138,-0.016633127,9.84E-01
5042.863918,165.7701356,8,-0.480656952,3.306539536,26.90694237,-0.01676745,9.84E-01
